,city,lat,lng,country,population
2655,Zalţan,32.95,11.8658,Libya,17700.0
2656,Qal’at Mgouna,31.2414,-6.1283,Morocco,16956.0
2657,Laatatra,32.6315,-8.4148,Morocco,17593.0
2658,Ruhango,-2.2325,29.7803,Rwanda,17051.0
2659,Tizi Rached,36.6718,4.1918,Algeria,17161.0
2660,Ambolomadinika,-21.95,47.4333,Madagascar,17616.0
2661,Fanandrana,-18.1944,49.3792,Madagascar,17644.0
2662,Dourbali,11.805,15.8647,Chad,17682.0
2663,Villiers,-27.0333,28.6,South Africa,17315.0
2664,Guidan Roumdji,13.6575,6.6958,Niger,17525.0
2665,Aït Majdane,31.8514,-6.9658,Morocco,17572.0
2666,Agourai,33.6333,-5.5833,Morocco,16651.0
2667,Aïn Zaouïa,36.5483,3.8942,Algeria,17320.0
2668,Same,-4.0667,37.7833,Tanzania,17455.0
2669,Tougan,13.0667,-3.0667,Burkina Faso,17590.0
2670,Awlouz,30.7,-8.15,Morocco,17409.0
2671,Bakouma,5.6986,22.7833,Central African Republic,17599.0
2672,Sahel,34.9667,-4.55,Morocco,17496.0
2673,Ketama,34.9158,-4.5686,Morocco,17351.0
2674,Morarano-Gara,-18.71,48.27,Madagascar,17545.0
2675,Dar Chaifat,32.55,-7.5,Morocco,17454.0
2676,Lalībela,12.0317,39.0411,Ethiopia,17367.0
2677,Kolokondé,9.9,1.7667,Benin,17419.0
2678,Ambatolahy,-20.0,45.5333,Madagascar,17482.0
2679,Cheraro,14.3958,37.7731,Ethiopia,17045.0
2680,Anosiarivo,-19.9167,47.0333,Madagascar,17423.0
2681,Mareth,33.6333,10.3,Tunisia,17385.0
2682,Galaz,34.55,-4.8,Morocco,17333.0
2683,Mwingi,-0.9333,38.05,Kenya,15970.0
2684,Soavina,-18.95,47.4833,Madagascar,15658.0
2685,Kouka,11.9,-4.3333,Burkina Faso,17286.0
2686,Milla’ab,31.4737,-4.7424,Morocco,17360.0
2687,Tonj,7.28,28.68,South Sudan,17340.0
2688,Betroka,-23.2683,46.1044,Madagascar,17327.0
2689,Amboanjo,-22.0,47.85,Madagascar,17000.0
2690,Kangaba,11.9333,-8.4167,Mali,17232.0
2691,Peka,-28.9667,27.7667,Lesotho,17161.0
2692,Talsint,32.5398,-3.4408,Morocco,16166.0
2693,Ambohipihaonana,-19.4333,47.4167,Madagascar,17000.0
2694,Tamallalt,31.8289,-7.5261,Morocco,16539.0
2695,Ilaka Atsinanana,-19.5531,48.8408,Madagascar,17120.0
2696,Massé,7.1578,2.5436,Benin,16902.0
2697,Hīrna,9.2167,41.1,Ethiopia,16726.0
2698,Huruta,8.15,39.35,Ethiopia,16922.0
2699,Rubeho,-6.2578,36.8653,Tanzania,17020.0
2700,Azaourissè,6.6944,2.5075,Benin,16883.0
2701,Sidi Daoud,36.85,3.85,Algeria,16900.0
2702,Bloemhof,-27.65,25.59,South Africa,17122.0
2703,Anosibe-Ifanja,-18.8667,46.75,Madagascar,17000.0
2704,Douar Lamjaara,34.6147,-5.2887,Morocco,16899.0
2705,Sidi Yakoub,31.6667,-7.0667,Morocco,17054.0
2706,Wādī Ḩalfā’,21.8,31.35,Sudan,17121.0
2707,Tolongoina,-21.55,47.5167,Madagascar,17000.0
2708,Mandritsara,-15.8333,48.8167,Madagascar,17000.0
2709,Anosivelo,-22.7333,47.7667,Madagascar,17000.0
2710,Tagounite,29.9833,-5.5667,Morocco,17103.0
2711,Knemis Dades,31.309,-6.028,Morocco,17045.0
2712,Analanampotsy,-17.1667,49.4833,Madagascar,16987.0
2713,Ilakatra,-22.35,47.6667,Madagascar,17000.0
2714,Mahires,34.5333,10.5,Tunisia,15878.0
2715,Sadabe,-18.6333,47.7,Madagascar,17000.0
2716,Ambondromisotra,-20.3333,46.9167,Madagascar,17000.0
2717,Oulad Amrane,32.2833,-9.2333,Morocco,16979.0
2718,Milanoa,-13.5833,49.7833,Madagascar,17000.0
2719,Ambohitrolomahitsy,-18.7,47.6833,Madagascar,17000.0
2720,Tsarahonenana,-15.4833,48.4833,Madagascar,17000.0
2721,Sahamadio,-20.3,47.4,Madagascar,17000.0
2722,Befotaka,-14.5333,48.0167,Madagascar,17000.0
2723,Ambohitsimanova,-19.95,47.1167,Madagascar,17000.0
2724,Antsahavaribe,-13.9833,49.6167,Madagascar,17000.0
2725,Marofoty,-22.9333,43.5667,Madagascar,17000.0
2726,Manombo Atsimo,-22.95,43.4667,Madagascar,17000.0
2727,Ambolidibe Atsinanana,-15.1,48.8,Madagascar,17000.0
2728,Antanimora Atsinanana,-24.8167,45.6667,Madagascar,17000.0
2729,Lazarivo,-23.9,44.95,Madagascar,17000.0
2730,Etrotroka,-22.8833,47.6,Madagascar,17000.0
2731,Ambila,-21.9833,47.95,Madagascar,17000.0
2732,Ankarongana,-15.4167,48.9167,Madagascar,17000.0
2733,Andranofasika,-16.3833,46.9,Madagascar,16971.0
2734,Marosangy,-21.0,48.3,Madagascar,17000.0
